Sygnatura czasowa,Pseudonim,Tytuł atrakcji,Typ atrakcji,Czas trwania atrakcji (w godzinach),Opis atrakcji dla uczestników,Opis atrakcji dla organizatora (jeśli czujesz potrzebę dokładniejszego opisu przebiegu),Czy atrakcja zawiera treści dla dorosłych?,"Dyspozycyjność (preferowane godziny trwania atrakcji)

Zaznaczasz wszystkie, które Ci pasują.",Czy potrzebujesz laptopa?,Czy potrzebujesz głośników?,Czy potrzebujesz noclegu?,Miejsce na wszelkie inne uwagi,Doświadczenie/referencje,Priorytet atrakcji (Tier 1–3),Szacowana frekwencja,Wymagane tagi sali,Wymagane wyposażenie,Auto-planowanie,Klauzula RODO:
2026-07-01 22:00:42,Sidney Neko,Dlaczego cosplay od podstaw?,Prelekcja,1,"Dlaczego cosplay od podstaw? is a energetic prelekcja for fans of seasonal anime. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Dlaczego cosplay od podstaw?: prepare a visible queue line; keep a volunteer nearby for queue control.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,Global Operations Officer with 4 years of community experience and 16 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-03 13:52:15,Mollie Hahn,Prelekcja: anime sezonu,Prelekcja,1,"Prelekcja: anime sezonu is a energetic prelekcja for players who enjoy chaotic quizzes. Expect a lively fan event built around shared recommendations, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: anime sezonu: check projector input before doors open; mark this as low risk for content moderation.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Principal Paradigm Representative with 2 years of community experience and 12 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-16 00:26:24,Cindy_DAmore,manga paneling — utrimque tredecim deripio cerno,Prelekcja,1,"manga paneling — utrimque tredecim deripio cerno is a lightly competitive prelekcja for fans of seasonal anime. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for manga paneling — utrimque tredecim deripio cerno: keep a short microphone test before start; keep a volunteer nearby for queue control.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,Legacy Applications Specialist with 10 years of community experience and 23 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-10 01:53:08,Adah45,Prelekcja: anime muzyka,Prelekcja,1,"Prelekcja: anime muzyka is a deep-dive prelekcja for players who enjoy chaotic quizzes. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: anime muzyka: leave space near the door for late arrivals; watch capacity closely if the room starts filling early.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,International Infrastructure Associate with 9 years of community experience and 2 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-07 17:14:50,Jordi_Doyle-Johnson,Co to jest origami i crafts?,Prelekcja,2,"Co to jest origami i crafts? is a deep-dive prelekcja for cosplayers looking for practical ideas. Expect a lively fan event built around shared recommendations, synthetic examples, and no real attendee data.",Synthetic organizer note for Co to jest origami i crafts?: reserve the first row for helpers; watch capacity closely if the room starts filling early.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,Internal Optimization Representative with 2 years of community experience and 21 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-05 12:05:06,Arlene Zulauf,Quiz 2025: japońskie gry RPG,Konkurs,2,"Quiz 2025: japońskie gry RPG is a beginner-friendly konkurs for cosplayers looking for practical ideas. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Quiz 2025: japońskie gry RPG: leave space near the door for late arrivals; avoid placing another loud event next door.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,Customer Factors Orchestrator with 7 years of community experience and 3 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-06 01:29:42,Tavares Star,Jak manga paneling?,Prelekcja,1,"Jak manga paneling? is a deep-dive prelekcja for cosplayers looking for practical ideas. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Jak manga paneling?: prepare a visible queue line; mark this as low risk for content moderation.,nie,sobota (30/09) 18:00 - 22:00,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Internal Mobility Analyst with 7 years of community experience and 17 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-16 06:01:52,Ernestine_Fisher,humiliating przewodnik po anime horror,Prelekcja,1,"humiliating przewodnik po anime horror is a nostalgic prelekcja for people curious about Japanese pop culture. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for humiliating przewodnik po anime horror: keep a short microphone test before start; confirm equipment before opening the room.,nie,sobota (30/09) 18:00 - 22:00,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Investor Solutions Engineer with 9 years of community experience and 5 previous fan-event sessions.,2,50,,"projector,speakers",tak,Wyrażam zgodę
2026-07-03 05:29:10,Dashawn Star,cosplay od podstaw — copia testimonium,Prelekcja,3,"cosplay od podstaw — copia testimonium is a lightly competitive prelekcja for fans of seasonal anime. Expect a lively fan event built around shared recommendations, synthetic examples, and no real attendee data.",Synthetic organizer note for cosplay od podstaw — copia testimonium: prepare a visible queue line; avoid placing another loud event next door.,tak,"sobota (30/09) 18:00 - 22:00, sobota (30/09) 22:00 - 2:00, nocka 2:00 - 9:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Dynamic Optimization Supervisor with 7 years of community experience and 5 previous fan-event sessions.,3,50,,projector,tak,Wyrażam zgodę
2026-07-22 09:59:46,Arlene.Mitchell,Warsztat praktyczny — manga shoujo,Warsztaty,2,"Warsztat praktyczny — manga shoujo is a energetic warsztaty for people curious about Japanese pop culture. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Warsztat praktyczny — manga shoujo: leave space near the door for late arrivals; mark this as low risk for content moderation.,nie,Pasuje mi przez cały konwent,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,District Directives Developer with 3 years of community experience and 2 previous fan-event sessions.,2,50,,"paper,tables",tak,Wyrażam zgodę
2026-07-16 21:09:35,Haskell.Langworth34,Warsztaty: retro handheldy,Warsztaty,1,"Warsztaty: retro handheldy is a beginner-friendly warsztaty for people curious about Japanese pop culture. Expect a lively fan event built around shared recommendations, synthetic examples, and no real attendee data.",Synthetic organizer note for Warsztaty: retro handheldy: reserve the first row for helpers; keep a volunteer nearby for queue control.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Principal Web Designer with 4 years of community experience and 22 previous fan-event sessions.,2,20,,"paper,tables",tak,Wyrażam zgodę
2026-07-14 20:29:39,Jonathon.Rodriguez9,Nauka polski dubbing,Warsztaty,30 min,"Nauka polski dubbing is a lightly competitive warsztaty for people curious about Japanese pop culture. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Nauka polski dubbing: reserve the first row for helpers; keep a volunteer nearby for queue control.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00, niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,Product Division Administrator with 10 years of community experience and 2 previous fan-event sessions.,3,50,,speaker,tak,Wyrażam zgodę
2026-07-16 08:56:56,Ricardo_Trantow,Open tournament — Genshin lore,Turniej,1,"Open tournament — Genshin lore is a nostalgic turniej for fans of seasonal anime. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Open tournament — Genshin lore: check projector input before doors open; confirm equipment before opening the room.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00, niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,Product Functionality Technician with 5 years of community experience and 17 previous fan-event sessions.,3,20,,"paper,pencils",tak,Wyrażam zgodę
2026-07-12 18:09:26,Jenna_Jakubowski,Warsztat praktyczny — anime horror,Warsztaty,2,"Warsztat praktyczny — anime horror is a deep-dive warsztaty for participants who want a relaxed convention break. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Warsztat praktyczny — anime horror: keep a short microphone test before start; avoid placing another loud event next door.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,Direct Brand Executive with 5 years of community experience and 13 previous fan-event sessions.,2,50,,chairs,tak,Wyrażam zgodę
2026-07-24 16:48:56,Marguerite Bashirian,Bracket battle: manga paneling,Turniej,3,"Bracket battle: manga paneling is a nostalgic turniej for people curious about Japanese pop culture. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for Bracket battle: manga paneling: keep a short microphone test before start; confirm equipment before opening the room.,nie,"sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00",Potrzebuję od was,Potrzebuję od was,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,Future Data Analyst with 3 years of community experience and 13 previous fan-event sessions.,2,50,,"rhythm cabinet,speakers",tak,Wyrażam zgodę
2026-07-12 16:52:23,Corine.Lakin-Ryan19,Bracket battle: openingi i endingi,Turniej,3,"Bracket battle: openingi i endingi is a energetic turniej for cosplayers looking for practical ideas. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Bracket battle: openingi i endingi: check projector input before doors open; confirm equipment before opening the room.,nie,"sobota (30/09) 18:00 - 22:00, sobota (30/09) 22:00 - 2:00",Potrzebuję od was,Potrzebuję od was,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Future Implementation Engineer with 2 years of community experience and 10 previous fan-event sessions.,2,50,,"rhythm cabinet,speakers",tak,Wyrażam zgodę
2026-07-17 04:02:03,Isaac_Halvorson,polski dubbing — supra defero,Prelekcja,1,"polski dubbing — supra defero is a energetic prelekcja for cosplayers looking for practical ideas. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for polski dubbing — supra defero: check projector input before doors open; avoid placing another loud event next door.,nie,niedziela (01/10) 9:00 - 12:00,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,Product Infrastructure Engineer with 5 years of community experience and 5 previous fan-event sessions.,3,20,,,tak,Wyrażam zgodę
2026-07-02 18:42:26,Earl Kertzmann,zesty przewodnik po origami i crafts,Prelekcja,1,"zesty przewodnik po origami i crafts is a nostalgic prelekcja for cosplayers looking for practical ideas. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for zesty przewodnik po origami i crafts: prepare a visible queue line; confirm equipment before opening the room.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Legacy Interactions Strategist with 4 years of community experience and 5 previous fan-event sessions.,3,20,,,tak,Wyrażam zgodę
2026-07-03 05:06:19,Barry Barrows,Warsztaty: openingi i endingi,Warsztaty,2,"Warsztaty: openingi i endingi is a energetic warsztaty for fans of seasonal anime. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Warsztaty: openingi i endingi: reserve the first row for helpers; keep a volunteer nearby for queue control.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Potrzebuję od was,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,Principal Applications Analyst with 4 years of community experience and 9 previous fan-event sessions.,1,200,main_stage,"speakers,microphone",tak,Wyrażam zgodę
2026-07-27 03:46:15,James San,Prelekcja: convention survival,Prelekcja,1,"Prelekcja: convention survival is a deep-dive prelekcja for fans of seasonal anime. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: convention survival: leave space near the door for late arrivals; confirm equipment before opening the room.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,District Response Architect with 11 years of community experience and 9 previous fan-event sessions.,2,100,,projector,tak,Wyrażam zgodę
2026-07-07 14:00:02,Dewitt Schimmel,tiny przewodnik po isekai tropes,Prelekcja,2,"tiny przewodnik po isekai tropes is a deep-dive prelekcja for fans of seasonal anime. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for tiny przewodnik po isekai tropes: leave space near the door for late arrivals; avoid placing another loud event next door.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,International Accountability Assistant with 6 years of community experience and 16 previous fan-event sessions.,1,200,,projector,tak,Wyrażam zgodę
2026-07-03 00:02:53,Jacklyn Willms-Becker,Quiz 2025: anime horror,Konkurs,1,"Quiz 2025: anime horror is a beginner-friendly konkurs for cosplayers looking for practical ideas. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Quiz 2025: anime horror: leave space near the door for late arrivals; watch capacity closely if the room starts filling early.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Forward Functionality Executive with 6 years of community experience and 18 previous fan-event sessions.,2,100,,projector,tak,Wyrażam zgodę
2026-07-13 22:15:23,Norman_Schamberger44,Konkurs wiedzy: polski dubbing,Konkurs,2,"Konkurs wiedzy: polski dubbing is a lightly competitive konkurs for players who enjoy chaotic quizzes. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Konkurs wiedzy: polski dubbing: prepare a visible queue line; watch capacity closely if the room starts filling early.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,Principal Infrastructure Planner with 5 years of community experience and 9 previous fan-event sessions.,1,100,,projector,tak,Wyrażam zgodę
2026-07-17 11:54:52,Erick.Prohaska5,Warsztat praktyczny — polski dubbing,Warsztaty,1,"Warsztat praktyczny — polski dubbing is a lightly competitive warsztaty for fans of seasonal anime. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Warsztat praktyczny — polski dubbing: leave space near the door for late arrivals; confirm equipment before opening the room.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,Senior Metrics Analyst with 11 years of community experience and 10 previous fan-event sessions.,2,50,,"paper,pencils,tables",tak,Wyrażam zgodę
2026-07-23 16:19:52,Nikita_Shields-Jenkins27,imaginary przewodnik po openingi i endingi,Prelekcja,1,"imaginary przewodnik po openingi i endingi is a beginner-friendly prelekcja for fans of seasonal anime. Expect a lively fan event built around shared recommendations, synthetic examples, and no real attendee data.",Synthetic organizer note for imaginary przewodnik po openingi i endingi: leave space near the door for late arrivals; keep a volunteer nearby for queue control.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,Global Group Producer with 3 years of community experience and 12 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-07 08:29:24,Sadie74,idol culture — animi vinco,Prelekcja,1,"idol culture — animi vinco is a lightly competitive prelekcja for participants who want a relaxed convention break. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for idol culture — animi vinco: reserve the first row for helpers; mark this as low risk for content moderation.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Legacy Implementation Representative with 8 years of community experience and 13 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-02 05:04:43,Moon Collective,Prelekcja: rhythm games,Prelekcja,1,"Prelekcja: rhythm games is a energetic prelekcja for participants who want a relaxed convention break. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: rhythm games: reserve the first row for helpers; keep a volunteer nearby for queue control.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Dynamic Markets Orchestrator with 12 years of community experience and 12 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-10 11:43:31,Ida Art,Prelekcja: anime horror,Prelekcja,1,"Prelekcja: anime horror is a nostalgic prelekcja for players who enjoy chaotic quizzes. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: anime horror: leave space near the door for late arrivals; keep a volunteer nearby for queue control.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Direct Communications Agent with 4 years of community experience and 10 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-11 08:07:05,Lauren Denesik,Quiz 2024: openingi i endingi,Konkurs,1,"Quiz 2024: openingi i endingi is a lightly competitive konkurs for people curious about Japanese pop culture. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Quiz 2024: openingi i endingi: keep a short microphone test before start; confirm equipment before opening the room.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Potrzebuję od was,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Lead Division Engineer with 6 years of community experience and 15 previous fan-event sessions.,3,50,,"projector,speakers,controller",tak,Wyrażam zgodę
2026-07-10 22:15:56,Branson Yundt,worldly przewodnik po VTuber fandom,Prelekcja,1,"worldly przewodnik po VTuber fandom is a beginner-friendly prelekcja for people curious about Japanese pop culture. Expect a lively fan event built around shared recommendations, synthetic examples, and no real attendee data.",Synthetic organizer note for worldly przewodnik po VTuber fandom: check projector input before doors open; mark this as low risk for content moderation.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Human Branding Architect with 6 years of community experience and 15 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-17 00:40:33,Alfonso.Cole59,Prelekcja: Genshin lore,Prelekcja,1,"Prelekcja: Genshin lore is a energetic prelekcja for fans of seasonal anime. Expect a focused session with space for discussion at the end, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: Genshin lore: keep a short microphone test before start; confirm equipment before opening the room.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,Corporate Web Engineer with 1 years of community experience and 7 previous fan-event sessions.,2,50,,projector,tak,Wyrażam zgodę
2026-07-02 01:12:33,Connor Neko,Wiedzówka — Genshin lore,Konkurs,1,"Wiedzówka — Genshin lore is a beginner-friendly konkurs for participants who want a relaxed convention break. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for Wiedzówka — Genshin lore: reserve the first row for helpers; keep a volunteer nearby for queue control.,nie,"niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,Global Response Planner with 5 years of community experience and 17 previous fan-event sessions.,3,50,,projector,tak,Wyrażam zgodę
2026-07-24 09:31:53,Milan Chan,Wiedzówka — openingi i endingi,Konkurs,2,"Wiedzówka — openingi i endingi is a nostalgic konkurs for players who enjoy chaotic quizzes. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Wiedzówka — openingi i endingi: keep a short microphone test before start; watch capacity closely if the room starts filling early.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00, niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Regional Security Consultant with 8 years of community experience and 18 previous fan-event sessions.,2,20,,,tak,Wyrażam zgodę
2026-07-26 23:24:34,Moon Club,Wiedzówka — japońskie gry RPG,Konkurs,2,"Wiedzówka — japońskie gry RPG is a deep-dive konkurs for players who enjoy chaotic quizzes. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Wiedzówka — japońskie gry RPG: keep a short microphone test before start; confirm equipment before opening the room.,nie,Pasuje mi przez cały konwent,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Direct Intranet Orchestrator with 7 years of community experience and 23 previous fan-event sessions.,3,20,,,tak,Wyrażam zgodę
2026-07-04 03:37:04,Rolando_Mraz,Prelekcja: fandom online,Prelekcja,1,"Prelekcja: fandom online is a deep-dive prelekcja for participants who want a relaxed convention break. Expect a guided talk with audience questions, synthetic examples, and no real attendee data.",Synthetic organizer note for Prelekcja: fandom online: keep a short microphone test before start; watch capacity closely if the room starts filling early.,nie,Pasuje mi przez cały konwent,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Global Optimization Designer with 1 years of community experience and 24 previous fan-event sessions.,2,20,,,tak,Wyrażam zgodę
2026-07-16 15:29:42,Manga Circle,retro handheldy — solum alter,Prelekcja,1,"retro handheldy — solum alter is a lightly competitive prelekcja for people curious about Japanese pop culture. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for retro handheldy — solum alter: check projector input before doors open; keep a volunteer nearby for queue control.,nie,"sobota (30/09) 11:00 - 14:00, sobota (30/09) 14:00 - 18:00, sobota (30/09) 18:00 - 22:00, niedziela (01/10) 9:00 - 12:00, niedziela (01/10) 12:00 - 15:00",Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: room signage should be visible. No private contact data is included.,Corporate Operations Supervisor with 9 years of community experience and 15 previous fan-event sessions.,2,20,,,tak,Wyrażam zgodę
2026-07-06 02:57:28,Jennie_Kutch,Quiz 2025: makijaż postaci,Konkurs,1,"Quiz 2025: makijaż postaci is a lightly competitive konkurs for people curious about Japanese pop culture. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Quiz 2025: makijaż postaci: prepare a visible queue line; keep a volunteer nearby for queue control.,nie,Pasuje mi przez cały konwent,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: event can be moved within declared availability. No private contact data is included.,Dynamic Accounts Analyst with 5 years of community experience and 17 previous fan-event sessions.,2,20,,,tak,Wyrażam zgodę
2026-07-28 03:58:22,Maryann.Morar43,Spotkanie z fanami — isekai tropes,Panel,1,"Spotkanie z fanami — isekai tropes is a lightly competitive panel for cosplayers looking for practical ideas. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Spotkanie z fanami — isekai tropes: reserve the first row for helpers; confirm equipment before opening the room.,nie,Pasuje mi przez cały konwent,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: late arrivals are expected. No private contact data is included.,Future Factors Producer with 1 years of community experience and 7 previous fan-event sessions.,2,20,,,tak,Wyrażam zgodę
2026-07-21 23:16:15,Cosplay Guild,Panel: fandom online,Panel,1,"Panel: fandom online is a nostalgic panel for people curious about Japanese pop culture. Expect a practical convention activity with a clear beginner-friendly flow, synthetic examples, and no real attendee data.",Synthetic organizer note for Panel: fandom online: check projector input before doors open; avoid placing another loud event next door.,nie,Pasuje mi przez cały konwent,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: helper support is welcome but not required. No private contact data is included.,Product Paradigm Facilitator with 2 years of community experience and 14 previous fan-event sessions.,3,20,,,tak,Wyrażam zgodę
2026-07-15 04:36:29,Felix_Parker,Q&A: fandom online,Panel,90 min,"Q&A: fandom online is a beginner-friendly panel for cosplayers looking for practical ideas. Expect a multimedia session with examples from recent series, synthetic examples, and no real attendee data.",Synthetic organizer note for Q&A: fandom online: keep a short microphone test before start; confirm equipment before opening the room.,nie,Pasuje mi przez cały konwent,Potrzebuję od was,Atrakcja nie wymaga dźwięku,Nie dotyczy w danych demo,Synthetic data: presenter prefers a short setup check. No private contact data is included.,Central Metrics Designer with 12 years of community experience and 18 previous fan-event sessions.,3,20,,,tak,Wyrażam zgodę
